ADMINLVL	AGRIC	BUSH_FOOD	CCODE2K4	DCODE_2K4	DRY	FID	FOOD_SEC	HEALTH	HEA_FUNCT	HHLD	IDP	NAME_WS	NAME_WS_1	OID_	POP	P_CODE	P_CODE_1	QC_GEO_WS	RETURN_	SCHOOL	SCH_FUNCT	SIZE	TRAV_TIME	WET	X_COORD	Y_COORD	OBJECTID	geometry	country_code	sdr_id	sdr_name	sdr_level
04	" "	" "	27	2704	Y	364	" "	Y	Y	2500.00	P	Pleebo	Pleebo	254	12500.00	LR1500092	LR1500092	1	P	Y	Y	" "	0.00	Y	-7.67	4.59	70	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.6725,4.5891700000001]}"""	LR	73847	Pleebo	PPL
06	" "	" "	27	2704	Y	365	" "	Y	Y	75.00	P	"Rock Town Big Town"	"Rock Town Big Town"	256	375.00	LR1500098	LR1500098	2	P	Y	Y	" "	0.00	Y	-7.78	4.40	71	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.7797899999999,4.3966300000001]}"""	LR	0		
06	" "	" "	27	2704	Y	366	" "	Y	N	100.00	S	"Old Sodokeh"	"Old Sodokeh"	253	500.00	LR1500107	LR1500107	2	S	Y	Y	" "	0.00	Y	-7.71	4.52	72	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.7055599999999,4.52083]}"""	LR	0		
06	" "	" "	27	2704	Y	367	" "	Y	Y	72.00	S	Tugbaken	Tugbaken	258	360.00	LR1500118	LR1500118	2	S	Y	Y	" "	0.00	Y	-7.71	4.66	73	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.7098599999999,4.66008]}"""	LR	21855	Tugbaken	ADM1
06	" "	" "	18	1806	Y	368	" "	Y	Y	110.00	P	Jekwikpo	Jekwikpo	131	550.00	LR9900160	LR9900160	1	S	Y	Y	" "	0.00	Y	-8.42	4.66	74	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.4160499999999,4.6608400000001]}"""	LR	16219	Jekwikpo	ADM1
06	" "	" "	18	1804	N	369	" "	Y	N	150.00	S	Henriesville	Henriesville	129	750.00	LR9900240	LR9900240	3	A	Y	Y	" "	0.00	N	-8.16	4.71	75	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1567799999999,4.70725]}"""	LR	0		
05	" "	" "	18	1808	Y	370	" "	Y	N	750.00	S	Wilsonville	Wilsonville	140	3750.00	LR9900285	LR9900285	2	S	Y	Y	" "	0.00	Y	-7.88	4.48	76	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.8799299999999,4.4814400000001]}"""	LR	74859	Wilsonville	PPL
06	" "	" "	27	2704	Y	371	" "	Y	Y	45.00	P	"Cavalla Mission Town"	"Cavalla Mission Town"	247	225.00	LR9901486	LR9901486	2	P	Y	Y	" "	0.00	Y	-7.61	4.36	77	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.6074299999999,4.35767]}"""	LR	0		
07	" "	" "	18	1808	Y	372	" "	Y	Y	15.00	S	Newbehwan	Newbehwan	139	75.00	LF1808068	LF1808068	4	S	Y	Y	" "	0.00	Y	-7.85	4.65	78	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.8535999999999,4.6462900000001]}"""	LR	0		
06	" "	" "	27	2704	Y	373	" "	Y	Y	55.00	P	"Little Wlebo"	"Little Wlebo"	252	275.00	LB2704003	LB2704003	4	P	Y	Y	" "	0.00	Y	-7.76	4.44	79	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.7612099999999,4.4377600000001]}"""	LR	0		
07	" "	" "	27	2704	N	374	" "	Y	Y	5.00	P	"Cavalla Kunokudi"	"Cavalla Kunokudi"	246	25.00	LB2704046	LB2704046	4	P	Y	Y	" "	0.00	N	-7.57	4.60	80	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.5695899999999,4.6009200000001]}"""	LR	0		
07	" "	" "	27	2704	Y	375	" "	Y	Y	26.00	P	"Hospital Camp"	"Hospital Camp"	249	130.00	LB2704062	LB2704062	4	P	N	N	" "	0.00	Y	-7.66	4.57	81	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.6624999999999,4.57421]}"""	LR	15856	"Hospital Camp"	ADM1
07	" "	" "	27	2704	Y	376	" "	Y	Y	21.00	S	"Leprosy Camp"	"Leprosy Camp"	251	105.00	LG2704018	LG2704018	4	S	N	N	" "	0.00	Y	-7.70	4.64	82	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.6950199999999,4.6434300000001]}"""	LR	18193	"Leprosy Camp"	ADM1
07	" "	" "	27	2704	Y	377	" "	Y	Y	31.00	S	Pougbaken	Pougbaken	255	155.00	LG2704020	LG2704020	4	S	Y	Y	" "	0.00	Y	-7.77	4.77	83	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.7678899999999,4.7737900000001]}"""	LR	20094	Pougbaken	ADM1
05	" "	" "	18	1808	Y	378	" "	Y	Y	450.00	S	"Garraway Beach"	"Garraway Beach"	137	2250.00	LR1400036	LR1400036	3	S	Y	Y	" "	0.00	Y	-7.92	4.51	84	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.9211299999999,4.51013]}"""	LR	0		
06	" "	" "	15	1506	N	379	" "	Y	N	95.00	S	Dehyella(1)	Dehyella(1)	111	475.00	LR1200049	LR1200049	2	S	N	N	" "	0.00	N	-7.71	5.66	85	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.7141699999999,5.6608300000001]}"""	LR	0		
05	" "	" "	15	1508	Y	380	" "	Y	Y	675.00	A	Gboleken	Gboleken	116	3375.00	LR1200095	LR1200095	3	P	Y	Y	" "	0.00	Y	-8.19	6.11	86	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1886499999999,6.1054000000001]}"""	LR	14836	Gboleken	ADM1
05	" "	" "	15	1508	Y	381	" "	Y	Y	1600.00	A	"Janzon Town"	"Janzon Town"	118	8000.00	LR1200109	LR1200109	2	P	Y	Y	" "	0.00	Y	-8.04	6.23	87	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.0436099999999,6.2255600000001]}"""	LR	0		
05	" "	" "	15	1506	Y	382	" "	Y	Y	540.00	A	Jarwodee	Jarwodee	112	2700.00	LR1200110	LR1200110	2	S	Y	Y	" "	0.00	Y	-8.32	5.62	88	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.3208299999999,5.61778]}"""	LR	16157	Jarwodee	ADM1
05	" "	" "	15	1506	N	383	" "	Y	Y	468.00	A	Pennoken	Pennoken	113	2340.00	LR1200155	LR1200155	7	P	Y	Y	" "	0.00	N	-8.13	5.60	89	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1336099999999,5.5991700000001]}"""	LR	7301	Pennoken	ADM1
06	" "	" "	15	1502	Y	384	" "	Y	Y	375.00	A	"Polar Town"	"Polar Town"	108	1875.00	LR1200162	LR1200162	2	S	Y	Y	" "	0.00	Y	-8.56	6.16	90	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.5644399999999,6.16222]}"""	LR	77053	"Polar Town"	PPL
06	" "	" "	15	1506	N	385	" "	Y	N	200.00	S	Tarwroken	Tarwroken	114	1000.00	LR1200190	LR1200190	1	S	Y	Y	" "	0.00	N	-7.58	5.84	91	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.5755599999999,5.8400000000001]}"""	LR	73371	Tarwroken	PPL
05	" "	" "	15	1502	Y	386	" "	Y	Y	500.00	A	"Toe Town"	"Toe Town"	109	2500.00	LR1200197	LR1200197	1	S	Y	Y	" "	0.00	Y	-8.56	6.41	92	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.5571699999999,6.4085500000001]}"""	LR	73296	"Toe Town"	PPL
06	" "	" "	15	1502	Y	387	" "	Y	N	272.00	A	Jarwodee	Jarwodee	107	1360.00	LR1200220	LR1200220	2	A	Y	Y	" "	0.00	Y	-8.60	6.11	93	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.5999999999999,6.1130600000001]}"""	LR	16157	Jarwodee	ADM1
05	" "	" "	15	1508	Y	388	" "	Y	Y	980.00	S	"Zaiyee Town"	"Zaiyee Town"	121	4900.00	LR1200225	LR1200225	3	S	Y	Y	" "	0.00	Y	-8.29	6.19	94	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.2907099999999,6.1894800000001]}"""	LR	0		
05	" "	" "	15	1506	Y	389	" "	Y	Y	1000.00	S	"Ziah Town"	"Ziah Town"	115	5000.00	LR1200230	LR1200230	2	S	Y	Y	" "	0.00	Y	-7.86	5.75	95	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.855,5.7455600000001]}"""	LR	0		
05	" "	" "	15	1502	Y	390	" "	Y	Y	750.00	A	"Zleh Town"	"Zleh Town"	110	3750.00	LR1200235	LR1200235	1	S	Y	Y	" "	0.00	Y	-8.43	6.23	96	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.43333,6.2266700000001]}"""	LR	72668	"Zleh Town"	PPL
02	" "	" "	15	1508	Y	391	" "	Y	Y	14000.00	A	Zwedru	Zwedru	122	70000.00	LR1200237	LR1200237	1	P	Y	Y	" "	0.00	Y	-8.13	6.07	97	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.12889,6.0672200000001]}"""	LR	0		
02	" "	" "	42	4204	Y	392	" "	Y	Y	1550.00	P	"Fish Town"	"Fish Town"	417	7750.00	LR1300012	LR1300012	1	S	Y	Y	" "	0.00	Y	-7.87	5.20	98	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.8746599999999,5.1968400000001]}"""	LR	6404	"Fish Town"	ADM1
