pos	adm0_id	adm0_name	adm1_id	adm1_name	mkt_id	mkt_name	cm_id	cm_name	cur_id	cur_name	pt_id	pt_name	um_id	um_name	month_year	mp_month	mp_year	mp_price	mp_commoditysource	sdr_id	sdr_name	sdr_level	ndate
142	106	Guinea	40701	Conakry	1571	Madina	109	Meat	54	GNF	15	Retail	5	KG	41456	7	2013	32000.0	WFP	3604	Madina	PPL	2013-07-01
143	106	Guinea	40701	Conakry	1571	Madina	62	Oil (Palm)	54	GNF	15	Retail	15	L	41640	1	2014	10000.0	WFP	3604	Madina	PPL	2014-01-01
144	106	Guinea	40701	Conakry	1571	Madina	62	Oil (Palm)	54	GNF	15	Retail	15	L	41609	12	2013	12000.0	Gov	3604	Madina	PPL	2013-12-01
145	106	Guinea	40701	Conakry	1571	Madina	62	Oil (Palm)	54	GNF	15	Retail	15	L	41518	9	2013	11000.0	WFP	3604	Madina	PPL	2013-09-01
146	106	Guinea	40701	Conakry	1571	Madina	62	Oil (Palm)	54	GNF	15	Retail	15	L	41487	8	2013	11000.0	WFP	3604	Madina	PPL	2013-08-01
147	106	Guinea	40701	Conakry	1571	Madina	83	Potatoes	54	GNF	15	Retail	5	KG	41609	12	2013	6000.0	Gov	3604	Madina	PPL	2013-12-01
148	106	Guinea	40701	Conakry	1571	Madina	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41640	1	2014	5000.0	WFP	3604	Madina	PPL	2014-01-01
149	106	Guinea	40701	Conakry	1571	Madina	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41609	12	2013	4000.0	Gov	3604	Madina	PPL	2013-12-01
150	106	Guinea	40701	Conakry	1571	Madina	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41518	9	2013	6000.0	WFP	3604	Madina	PPL	2013-09-01
151	106	Guinea	40701	Conakry	1571	Madina	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41487	8	2013	6000.0	WFP	3604	Madina	PPL	2013-08-01
152	106	Guinea	40701	Conakry	1571	Madina	64	Rice (Imported)	54	GNF	15	Retail	5	KG	41456	7	2013	5500.0	WFP	3604	Madina	PPL	2013-07-01
153	106	Guinea	40701	Conakry	1571	Madina	71	Rice (Local)	54	GNF	15	Retail	5	KG	41640	1	2014	5500.0	WFP	3604	Madina	PPL	2014-01-01
154	106	Guinea	40701	Conakry	1571	Madina	71	Rice (Local)	54	GNF	15	Retail	5	KG	41609	12	2013	6000.0	Gov	3604	Madina	PPL	2013-12-01
155	106	Guinea	40701	Conakry	1571	Madina	71	Rice (Local)	54	GNF	15	Retail	5	KG	41518	9	2013	7000.0	WFP	3604	Madina	PPL	2013-09-01
156	106	Guinea	40701	Conakry	1571	Madina	71	Rice (Local)	54	GNF	15	Retail	5	KG	41487	8	2013	7000.0	WFP	3604	Madina	PPL	2013-08-01
157	106	Guinea	40701	Conakry	1571	Madina	71	Rice (Local)	54	GNF	15	Retail	5	KG	41456	7	2013	6500.0	WFP	3604	Madina	PPL	2013-07-01
158	106	Guinea	40701	Conakry	1571	Madina	185	Salt	54	GNF	15	Retail	5	KG	41640	1	2014	1500.0	WFP	3604	Madina	PPL	2014-01-01
159	106	Guinea	40701	Conakry	1571	Madina	185	Salt	54	GNF	15	Retail	5	KG	41518	9	2013	2500.0	WFP	3604	Madina	PPL	2013-09-01
160	106	Guinea	40701	Conakry	1571	Madina	185	Salt	54	GNF	15	Retail	5	KG	41487	8	2013	2500.0	WFP	3604	Madina	PPL	2013-08-01
161	106	Guinea	40701	Conakry	1571	Madina	185	Salt	54	GNF	15	Retail	5	KG	41456	7	2013	2500.0	WFP	3604	Madina	PPL	2013-07-01
