pos	adm0_id	adm0_name	adm1_id	adm1_name	mkt_id	mkt_name	cm_id	cm_name	cur_id	cur_name	pt_id	pt_name	um_id	um_name	month_year	mp_month	mp_year	mp_price	mp_commoditysource	sdr_id	sdr_name	sdr_level
74	106	Guinea	40700	Boke	1639	Boke	185	Salt	54	GNF	15	Retail	33	Unit	41883	9	2014	2000	WFP	1	Boke	ADM1
75	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41913	10	2014	6500	WFP	1	Boke	ADM1
76	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41883	9	2014	6500	WFP	1	Boke	ADM1
77	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41852	8	2014	6500	WFP	1	Boke	ADM1
78	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41821	7	2014	6500	WFP	1	Boke	ADM1
79	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41791	6	2014	6500	WFP	1	Boke	ADM1
80	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41760	5	2014	6500	WFP	1	Boke	ADM1
81	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41730	4	2014	6500	WFP	1	Boke	ADM1
82	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41699	3	2014	6500	WFP	1	Boke	ADM1
83	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41671	2	2014	6500	WFP	1	Boke	ADM1
84	106	Guinea	40700	Boke	1639	Boke	97	Sugar	54	GNF	15	Retail	5	KG	41640	1	2014	6500	WFP	1	Boke	ADM1
85	106	Guinea	40700	Boke	1639	Boke	243	"Tomatoes (Greenhouse)"	54	GNF	15	Retail	5	KG	41640	1	2014	8000	WFP	1	Boke	ADM1
