adm0_name	cm_name		mp_price
Guinea	"Rice (Local)"		2831.6
Guinea	"Rice (Local)"		2740.8
Guinea	"Rice (Local)"		3137.8
Guinea	"Rice (Local)"		4035.6
Guinea	"Rice (Local)"		3928.4
Guinea	"Rice (Local)"		3946.6
Guinea	"Rice (Local)"		4021
Guinea	"Rice (Local)"		3863
Guinea	"Rice (Local)"		3659.8
Guinea	"Rice (Local)"		3633.3333
Guinea	"Rice (Local)"		4053
Guinea	"Rice (Local)"		3316
Guinea	"Rice (Local)"		3566.25
Guinea	"Rice (Local)"		3842.25
Guinea	"Rice (Local)"		4657.25
Guinea	"Rice (Local)"		4879
Guinea	"Rice (Local)"		4818
Guinea	"Rice (Local)"		4142
Guinea	"Rice (Local)"		3963
Guinea	"Rice (Local)"		3555.25
Guinea	"Rice (Local)"		3012.75
Guinea	"Rice (Local)"		2647
Guinea	"Rice (Local)"		2505.75
Guinea	Salt		3500
Guinea	Salt		4000
Guinea	Salt		4000
Guinea	Salt		3500
Guinea	Salt		4000
Guinea	Salt		3500
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		3500
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		2500
Guinea	Salt		4000
Guinea	Salt		2500
Guinea	Salt		2500
Guinea	Salt		2500
Guinea	Salt		2500
Guinea	Salt		2500
Guinea	Salt		3000
Guinea	Salt		3000
Guinea	Salt		2500
Guinea	Salt		2500
Guinea	Salt		3000
Guinea	Salt		3500
Guinea	Salt		3500
Guinea	Sugar		7000
Guinea	Sugar		6500
Guinea	Sugar		6000
Guinea	Sugar		6500
Guinea	Sugar		6500
Guinea	Sugar		6500
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		6500
Guinea	Sugar		6000
Guinea	Sugar		6000
Guinea	Sugar		6000
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		6000
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		7500
Guinea	Sugar		7500
Guinea	Sugar		7000
Guinea	Sugar		7000
Guinea	Sugar		8000
Guinea	Sugar		9000
Guinea	Sugar		8500
Guinea	Sugar		9000
Guinea	Sugar		9000
Guinea	Sugar		9000
Guinea	Tomatoes		5000
Guinea	Tomatoes		2000
Guinea	Tomatoes		1000
Guinea	Tomatoes		1000
Guinea	Tomatoes		3000
Guinea	"Tomatoes (Greenhouse)"		1000
Guinea	"Tomatoes (Greenhouse)"		1000
Guinea	"Tomatoes (Greenhouse)"		1000
Guinea	"Tomatoes (Greenhouse)"		1000
Guinea	"Tomatoes (Greenhouse)"		1000
Guinea	"Tomatoes (Greenhouse)"		10000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		4000
Guinea	"Tomatoes (Greenhouse)"		5000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	"Tomatoes (Greenhouse)"		1750
Guinea	"Tomatoes (Greenhouse)"		1750
Guinea	"Tomatoes (Greenhouse)"		2000
Guinea	Beans		4500
Guinea	Beans		4000
